0,1,2,3,4,5,6
,,,Rate,Vendor,,
9498207124,6/5/2025,19498207124,$0.10,Peerless,,
9498207125,6/5/2025,19498207125,$0.10,Peerless,,
9498207126,6/5/2025,19498207126,$0.10,Peerless,,
9498207127,6/5/2025,19498207127,$0.10,Peerless,,
9498207128,6/5/2025,19498207128,$0.10,Peerless,,
2179961427,6/20/2025,12179961427,$0.10,Peerless,,
2179961430,6/20/2025,12179961430,$0.10,Peerless,,
2179961433,6/20/2025,12179961433,$0.10,Peerless,,
2179961436,6/20/2025,12179961436,$0.10,Peerless,,
2179961438,6/20/2025,12179961438,$0.10,Peerless,,
2769994457,6/20/2025,12769994457,$0.10,Peerless,,
2769994458,6/20/2025,12769994458,$0.10,Peerless,,
2769994459,6/20/2025,12769994459,$0.10,Peerless,,
2769994460,6/20/2025,12769994460,$0.10,Peerless,,
2769994461,6/20/2025,12769994461,$0.10,Peerless,,
7712163934,7/25/2025,17712163934,$0.10,Peerless,$350.00,
9046709566,7/25/2025,19046709566,$0.10,Peerless,,
9046709589,7/25/2025,19046709589,$0.10,Peerless,,
9046709590,7/25/2025,19046709590,$0.10,Peerless,,
9046709591,7/25/2025,19046709591,$0.10,Peerless,,
9046709592,7/25/2025,19046709592,$0.10,Peerless,,
2013126437,8/21/2025,12013126437,$0.10,Peerless,,
2013126700,8/21/2025,12013126700,$0.10,Peerless,,
2079041582,8/21/2025,12079041582,$0.10,Peerless,,
2079041584,8/21/2025,12079041584,$0.10,Peerless,,
2079041586,8/21/2025,12079041586,$0.10,Peerless,,
2079041591,8/21/2025,12079041591,$0.10,Peerless,,
2079041753,8/21/2025,12079041753,$0.10,Peerless,,
2079041757,8/21/2025,12079041757,$0.10,Peerless,,
2079041764,8/21/2025,12079041764,$0.10,Peerless,,
2079041766,8/21/2025,12079041766,$0.10,Peerless,,
2079041768,8/21/2025,12079041768,$0.10,Peerless,,
2079041777,8/21/2025,12079041777,$0.10,Peerless,,
3138161953,8/21/2025,13138161953,$0.10,Peerless,,
5409971996,8/21/2025,15409971996,$0.10,Peerless,,
5409971997,8/21/2025,15409971997,$0.10,Peerless,,
5719989834,8/21/2025,15719989834,$0.10,Peerless,,
5719989998,8/21/2025,15719989998,$0.10,Peerless,,
5868007321,8/21/2025,15868007321,$0.10,Peerless,,
5868007327,8/21/2025,15868007327,$0.10,Peerless,,
6169526936,8/21/2025,16169526936,$0.10,Peerless,,
6169526998,8/21/2025,16169526998,$0.10,Peerless,,
6402138028,8/21/2025,16402138028,$0.10,Peerless,,
7328139115,8/21/2025,17328139115,$0.10,Peerless,,
7579090551,8/21/2025,17579090551,$0.10,Peerless,,
7579970337,8/21/2025,17579970337,$0.10,Peerless,,
7579970453,8/21/2025,17579970453,$0.10,Peerless,,
7604785954,8/21/2025,17604785954,$0.10,Peerless,,
7604785961,8/21/2025,17604785961,$0.10,Peerless,,
8103156836,8/21/2025,18103156836,$0.10,Peerless,,
8268289987,8/21/2025,18268289987,$0.10,Peerless,,
8402369539,8/21/2025,18402369539,$0.10,Peerless,,
8482146111,8/21/2025,18482146111,$0.10,Peerless,,
8589390816,8/21/2025,18589390816,$0.10,Peerless,,
8589390817,8/21/2025,18589390817,$0.10,Peerless,,
8627578984,8/21/2025,18627578984,$0.10,Peerless,,
9087517801,8/21/2025,19087517801,$0.10,Peerless,,
9087517802,8/21/2025,19087517802,$0.10,Peerless,,
9168921391,8/21/2025,19168921391,$0.10,Peerless,,
9472149995,8/21/2025,19472149995,$0.10,Peerless,,
9472149996,8/21/2025,19472149996,$0.10,Peerless,,
9482439793,8/21/2025,19482439793,$0.10,Peerless,,
9493327629,8/21/2025,19493327629,$0.10,Peerless,,
9493327710,8/21/2025,19493327710,$0.10,Peerless,,
9515276712,8/21/2025,19515276712,$0.10,Peerless,,
9738343173,8/21/2025,19738343173,$0.10,Peerless,,
9896871941,8/21/2025,19896871941,$0.10,Peerless,,
2409156541,8/21/2025,12409156541,$0.10,Peerless,,
2409156553,8/21/2025,12409156553,$0.10,Peerless,,
3029225526,8/21/2025,13029225526,$0.10,Peerless,,
